keycidadepotencial;keyestimativa;anoscore;keycontagemfarmacias;keypib;populacaototal;qtdfarmacias;valorpibcomercioservicos;scorepopraw;scoresaturacaoraw;scorepibraw;scorepopnorm;scoresaturacaonorm;scorepibnorm;scorefinal;scorefinalnorm
186;2;2021;12;15024;352536;225;6913824000;1575480;7002.133333333333;19611.68221117843;0.7130163598632112;0.7543520730199401;0.8312454822097897;0.7655971835422372;0.8395049250530382
186;3;2021;12;15024;352536;225;6913824000;352536;1566.8266666666666;19611.68221117843;0.6382094588935793;0.6268391211985159;0.8312454822097897;0.668857427170277;0.7562915192076227
187;1;2021;64;15025;165139;62;988959000;6217402.5;100280.68548387097;5988.645928581377;0.7816090786012021;0.981117042013828;0.7314899433506185;0.9112408259399234;0.9565560318152515
187;2;2021;64;15025;165139;62;988959000;460430;7426.290322580645;5988.645928581377;0.6515507142084844;0.7593620033972236;0.7314899433506185;0.7430064624690286;0.8204883204108422
187;3;2021;64;15025;165139;62;988959000;165139;2663.532258064516;5988.645928581377;0.6003172512629177;0.6720228331134642;0.7314899433506185;0.6767456969758403;0.7632552076636232
188;1;2021;58;15026;144849;68;1871368000;5597657.899999999;82318.49852941175;12919.440244668585;0.7763624676189663;0.964301094158463;0.7961447270965758;0.9118759580921358;0.9570466885122793
188;2;2021;58;15026;144849;68;1871368000;440850;6483.088235294118;12919.440244668585;0.6493793949829593;0.747791282562733;0.7961447270965758;0.7476207827115242;0.8243925531945199
188;3;2021;58;15026;144849;68;1871368000;144849;2130.1323529411766;12919.440244668585;0.59376698327714;0.6529917401148362;0.7961447270965758;0.6756998618274145;0.7623338405506692
209;1;2021;69;15047;118044;60;3075538000;5206621.400000001;86777.02333333336;26054.166243095795;0.7727440848862088;0.9687948931303495;0.8551334138343221;0.9264575164467299;0.9682667314485515
209;2;2021;69;15047;118044;60;3075538000;591380;9856.333333333334;26054.166243095795;0.6640570423413278;0.7834776670663164;0.8551334138343221;0.7858667539474186;0.8563616439226996
209;3;2021;69;15047;118044;60;3075538000;118044;1967.4;26054.166243095795;0.5835423288871763;0.6462242617400461;0.8551334138343221;0.6817378988736142;0.7676453684120378
212;1;2021;21;15050;287634;148;5976188000;11670741.499999998;78856.36148648648;20777.056954323896;0.813074213346031;0.9606403666838641;0.8360998638279401;0.920975650778896;0.9640586049029691
212;2;2021;21;15050;287634;148;5976188000;1062710;7180.472972972973;20777.056954323896;0.6933429309742671;0.7564945319702097;0.8360998638279401;0.7661004382421615;0.8399257829905087
212;3;2021;21;15050;287634;148;5976188000;287634;1943.472972972973;20777.056954323896;0.6280432420974007;0.6451822864254693;0.8360998638279401;0.6816518974731565;0.7675698488410495
213;1;2021;3;15051;1291771;513;40037172000;51793890.999999985;100962.75048732941;30994.01674135741;0.8875326942948469;0.9816945532199285;0.8697341660801946;0.9498862898994735;0.9861177805730101
213;2;2021;3;15051;1291771;513;40037172000;4381100;8540.155945419103;30994.01674135741;0.7641184141913075;0.7712671577081238;0.8697341660801946;0.7902456850308563;0.859978142969471
213;3;2021;3;15051;1291771;513;40037172000;1291771;2518.072124756335;30994.01674135741;0.7030958533129131;0.6672400003757436;0.8697341660801946;0.7113244188103507;0.7933993421945421
218;1;2021;26;15056;236641;136;8314851000;9274543.900000002;68195.17573529413;35136.98387008168;0.8015914829640235;0.9482651819238596;0.8802851246766774;0.9200018005784395;0.9633097777175637
218;2;2021;26;15056;236641;136;8314851000;720510;5297.867647058823;35136.98387008168;0.6739253095600385;0.7305933937134099;0.8802851246766774;0.7548649314907262;0.830501168850095
218;3;2021;26;15056;236641;136;8314851000;236641;1740.0073529411766;35136.98387008168;0.6182927113347805;0.6357656073281326;0.8802851246766774;0.6829222211985063;0.7686849532245481
236;1;2021;39;15074;255748;106;9716239000;10877815.299999999;102620.89905660377;37991.4564336769;0.8095586377450597;0.9830824108204121;0.8868538022495148;0.9464843117986973;0.983539070248598
236;2;2021;39;15074;255748;106;9716239000;1065310;10050.094339622641;37991.4564336769;0.6934650267958272;0.7851361162119013;0.8868538022495148;0.7963125444778165;0.8649740880382283
236;3;2021;39;15074;255748;106;9716239000;255748;2412.7169811320755;37991.4564336769;0.6221724625361728;0.6636001102705836;0.8868538022495148;0.7041080838929288;0.7871590803506362
253;1;2021;60;15091;112476;64;1451542000;4958781;77480.953125;12905.348696610832;0.7703071896138406;0.9591412560410066;0.7960529534699252;0.9076401888840736;0.9537713566533307
253;2;2021;60;15091;112476;64;1451542000;617000;9640.625;12905.348696610832;0.6661761026472036;0.7815925763466519;0.7960529534699252;0.7729430044013617;0.8456361608346373
253;3;2021;60;15091;112476;64;1451542000;112476;1757.4375;12905.348696610832;0.5811281209287285;0.6366143274815291;0.7960529534699252;0.6629534320239282;0.7510579580930368
255;1;2021;63;15093;158522;64;2720394000;6186526.1;96664.4703125;17160.98711850721;0.7813603237387304;0.9779879928299995;0.8200197622278871;0.9267315798004501;0.9684768003861003
255;2;2021;63;15093;158522;64;2720394000;501720;7839.375;17160.98711850721;0.6558418411591957;0.7639733895115968;0.8200197622278871;0.7643695092196147;0.8384777516267773
255;3;2021;63;15093;158522;64;2720394000;158522;2476.90625;17160.98711850721;0.5982739521456384;0.6658362214133808;0.8200197622278871;0.6899167026495078;0.7748097507622361
256;1;2021;48;15094;157790;82;3095971000;6419168.599999998;78282.54390243899;19620.831484884973;0.7832048076342789;0.9600181444037258;0.8312847058514259;0.9165901230163211;0.9606834212065147
256;2;2021;48;15094;157790;82;3095971000;665580;8116.829268292683;19620.831484884973;0.6699630000251979;0.7669362430406795;0.8312847058514259;0.7701086113012806;0.8432734319617754
256;3;2021;48;15094;157790;82;3095971000;157790;1924.2682926829268;19620.831484884973;0.5980426941308841;0.644336642089149;0.8312847058514259;0.6770968600457778;0.7635644488711282
258;1;2021;55;15096;232297;71;7477096000;8731722.5;122982.00704225352;32187.65631928092;0.7985780037107256;0.9985027961330957;0.8729121344699972;0.9533921845582389;0.9887705569160572
258;2;2021;55;15096;232297;71;7477096000;590810;8321.267605633802;32187.65631928092;0.6640088597421377;0.7690552841479573;0.8729121344699972;0.7793220117717834;0.8509398663840714
258;3;2021;55;15096;232297;71;7477096000;232297;3271.788732394366;32187.65631928092;0.6173669728654587;0.689540712584039;0.8729121344699972;0.7189976229893726;0.8000058777712372
265;1;2021;30;15103;369275;129;4428778000;13888130.800000003;107659.92868217056;11993.170401462325;0.8217657534330189;0.9871664065410879;0.7898884901203412;0.9311707579461317;0.9718752648185227
265;2;2021;30;15103;369275;129;4428778000;984850;7634.496124031008;11993.170401462325;0.6895411232920448;0.7617174550534043;0.7898884901203412;0.7601340288906556;0.8349285054742708
265;3;2021;30;15103;369275;129;4428778000;369275;2862.5968992248063;11993.170401462325;0.6405273126525485;0.6781613405890864;0.7898884901203412;0.6967433677016835;0.7807632015594864
268;1;2021;78;15106;121590;54;2904493000;5202455.899999999;96341.77592592592;23887.597664281602;0.7727040942608294;0.9777031042917297;0.8478322284397553;0.9312290281182448;0.9719198222624778
268;2;2021;78;15106;121590;54;2904493000;529080;9797.777777777777;23887.597664281602;0.6584948958917689;0.7829700563078038;0.8478322284397553;0.7834949746925907;0.8543991199961469
268;3;2021;78;15106;121590;54;2904493000;121590;2251.6666666666665;23887.597664281602;0.5850211707015127;0.6577169228254298;0.8478322284397553;0.6884704087359031;0.7735453685817638
273;1;2021;52;15111;168240;80;4851516000;7005618.900000001;87570.23625000002;28836.87589158345;0.7875730181794001;0.969570125133181;0.8636674127974101;0.9301898719706487;0.9711250090156284
273;2;2021;52;15111;168240;80;4851516000;693060;8663.25;28836.87589158345;0.67198450249539;0.7724862556254127;0.8636674127974101;0.78067231174681;0.8520601092011709
273;3;2021;52;15111;168240;80;4851516000;168240;2103;28836.87589158345;0.601246809915763;0.6519000850388631;0.8636674127974101;0.6891882230782624;0.7741730330963466
278;1;2021;50;15116;240275;82;6611049000;10197110.7;124355.00853658536;27514.510456768287;0.8063297939897984;0.9994486888226618;0.8597197435346337;0.9521910102817698;0.9878622108568854
278;2;2021;50;15116;240275;82;6611049000;1046300;12759.756097560976;27514.510456768287;0.6925653571259895;0.8054722662616883;0.8597197435346337;0.8050310708027075;0.8721241624879371
278;3;2021;50;15116;240275;82;6611049000;240275;2930.182926829268;27514.510456768287;0.6190541816281437;0.6801488019848204;0.8597197435346337;0.7099535282591154;0.7922159038375686
284;1;2021;103;15122;118045;40;2246180000;4638995.299999999;115974.88249999998;19028.16722436359;0.7669763596529104;0.9935047507332689;0.8287053478858644;0.9378920310557521;0.9770059739543127
284;2;2021;103;15122;118045;40;2246180000;347690;8692.25;19028.16722436359;0.6375178601088959;0.77277094434173;0.8287053478858644;0.7704325166272734;0.8435436284124137
284;3;2021;103;15122;118045;40;2246180000;118045;2951.125;19028.16722436359;0.5835427521634442;0.6807553412956509;0.8287053478858644;0.7006240837004729;0.7841368569707662
287;1;2021;56;15125;133497;71;3302758000;5884926.500000002;82886.28873239439;24740.316261788656;0.778863057204316;0.9648867206914046;0.8507819179887595;0.9234633938021667;0.9659697945809482
287;2;2021;56;15125;133497;71;3302758000;676080;9522.25352112676;24740.316261788656;0.6707450930226264;0.7805401164615474;0.8507819179887595;0.7836089744230977;0.854493508532667
287;3;2021;56;15125;133497;71;3302758000;133497;1880.2394366197184;24740.316261788656;0.5896891582388178;0.6423656309387127;0.8507819179887595;0.6787812410787325;0.7650468488314364
294;1;2021;11;15132;443221;234;29583739000;19469363.1;83202.40641025642;66747.1509698322;0.8386445957498797;0.9652110327005884;0.9342478189689902;0.9463617462591979;0.9834460810843707
294;2;2021;11;15132;443221;234;29583739000;2178830;9311.239316239316;66747.1509698322;0.7292166838917189;0.7786310902134411;0.9342478189689902;0.8048129953323787;0.8719457400089466
294;3;2021;11;15132;443221;234;29583739000;443221;1894.1068376068376;66747.1509698322;0.6496474030206445;0.6429913569971691;0.9342478189689902;0.7019082539938809;0.785251540467643
304;1;2021;31;15142;291869;128;7194793000;12606047.200000001;98484.74375000001;24650.761129136703;0.8169261636203126;0.9795774066893798;0.8504769498771599;0.9374921910200291;0.9767012527294807
304;2;2021;31;15142;291869;128;7194793000;1341860;10483.28125;24650.761129136703;0.7049966813519556;0.7887310933368964;0.8504769498771599;0.7927068234464549;0.862006882300375
304;3;2021;31;15142;291869;128;7194793000;291869;2280.2265625;24650.761129136703;0.62877355220214;0.658790294427413;0.8504769498771599;0.694125951294835;0.7784834209954373
327;1;2021;17;15165;237627;166;6118665000;10342642.100000001;62305.07289156628;25749.03104445202;0.8070378572673729;0.9405692880820432;0.8541426878419945;0.9099308249525664;0.9555435055776906
327;2;2021;17;15165;237627;166;6118665000;1204960;7258.795180722892;25749.03104445202;0.6996198425507937;0.7574186828321254;0.8541426878419945;0.770983599805966;0.8440032192816389
327;3;2021;17;15165;237627;166;6118665000;237627;1431.487951807229;25749.03104445202;0.618500468129988;0.6191476557014922;0.8541426878419945;0.6660819433724423;0.7538335182550667
331;1;2021;23;15169;418261;147;7936388000;17036160.6;115892.24897959185;18974.726307257908;0.8319739577239841;0.9934440250563773;0.828468829870036;0.9443019792858697;0.9818824812059724
331;2;2021;23;15169;418261;147;7936388000;1478160;10055.510204081633;18974.726307257908;0.7098304430333189;0.7851820113296153;0.828468829870036;0.7863042182080697;0.8567233381159558
331;3;2021;23;15169;418261;147;7936388000;418261;2845.312925170068;18974.726307257908;0.6467512448075374;0.6776455484622372;0.828468829870036;0.704720774378327;0.7876899246231429
344;1;2021;14;15182;451505;202;9446543000;18536322.9;91763.97475247525;20922.34416008682;0.8361907775636376;0.9735555219197503;0.8366858778933115;0.9324451186788513;0.9728494233708365
344;2;2021;14;15182;451505;202;9446543000;1799910;8910.445544554455;20922.34416008682;0.7196706428753621;0.7748829672531424;0.8366858778933115;0.7817223169433982;0.8529306329561045
344;3;2021;14;15182;451505;202;9446543000;451505;2235.1732673267325;20922.34416008682;0.6505726652261146;0.657090832438712;0.8366858778933115;0.6923580248083722;0.7769415557838945
345;1;2021;53;15183;153658;79;3010575000;6575332.499999999;83232.05696202531;19592.69937133114;0.7844058137785354;0.9652413886158221;0.8311640429132369;0.9203423619915765;0.9635716903748437
345;2;2021;53;15183;153658;79;3010575000;691530;8753.54430379747;19592.69937133114;0.671874076037796;0.7733695494196634;0.8311640429132369;0.7747789007801913;0.8471645354905741
345;3;2021;53;15183;153658;79;3010575000;153658;1945.0379746835442;19592.69937133114;0.5967168245373817;0.6452508300750187;0.8311640429132369;0.6775800720888987;0.7639898692042393
388;1;2021;9;15226;728615;310;58664576000;30095816.399999995;97083.2787096774;80515.19115033316;0.8604069280454504;0.9783563201513777;0.9500193645121024;0.96089398981293;0.9944309284288647
388;2;2021;9;15226;728615;310;58664576000;2808640;9060.129032258064;80515.19115033316;0.7419036270921774;0.7763021315189925;0.9500193645121024;0.807605727674933;0.8742290375531171
388;3;2021;9;15226;728615;310;58664576000;728615;2350.3709677419356;80515.19115033316;0.6744842357375319;0.6613705378800104;0.9500193645121024;0.720411672992181;0.801220138987253
391;1;2021;70;15229;103970;60;2399698000;4535627.7;75593.795;23080.677118399537;0.765850412936054;0.9570404783686336;0.8449423474285518;0.9155018456373593;0.9598446666679267
391;2;2021;70;15229;103970;60;2399698000;527060;8784.333333333334;23080.677118399537;0.6583037640977611;0.7736686580286353;0.8449423474285518;0.7763869065155311;0.8485018940624476
391;3;2021;70;15229;103970;60;2399698000;103970;1732.8333333333333;23080.677118399537;0.577198968581631;0.6354138142382599;0.8449423474285518;0.6714980363106554;0.7586262817709598
411;1;2021;82;15249;110537;50;16124529000;4562005.8999999985;91240.11799999997;145874.49451314943;0.7661401614299849;0.9730677607654038;1;0.9577614486787811;0.9920699555964272
411;2;2021;82;15249;110537;50;16124529000;392180;7843.6;145874.49451314943;0.6435342148563072;0.7640192883737164;1;0.799166923347232;0.867318781588831
411;3;2021;82;15249;110537;50;16124529000;110537;2210.74;145874.49451314943;0.5802592444732658;0.6561548048895992;1;0.7173342878700459;0.7985762733619582
428;1;2021;46;15266;165428;85;4231575000;6913712.5;81337.79411764706;25579.557269627876;0.7869131807003786;0.9632800034192308;0.8535873498346581;0.923704790430431;0.9661551141240423
428;2;2021;46;15266;165428;85;4231575000;691470;8134.941176470588;25579.557269627876;0.6718697406116401;0.7671261186986322;0.8535873498346581;0.7748927271171382;0.8472592432961269
428;3;2021;46;15266;165428;85;4231575000;165428;1946.2117647058824;25579.557269627876;0.6004046166047107;0.6453022033425766;0.8535873498346581;0.6824694739672063;0.7682876232037016
434;1;2021;15;15272;423323;196;14606755000;18071947.399999995;92203.81326530609;34504.987917027895;0.8349230769164474;0.9739629083883194;0.8787587110071305;0.9410180857648944;0.9793861996823744
434;2;2021;15;15272;423323;196;14606755000;1971250;10057.397959183674;34504.987917027895;0.7242140957329766;0.785198002734747;0.8787587110071305;0.7978117536890467;0.8662060587052537
434;3;2021;15;15272;423323;196;14606755000;423323;2159.811224489796;34504.987917027895;0.6473523247371558;0.6541700494778291;0.8787587110071305;0.6984060093096219;0.7822095435187
445;1;2021;76;15283;103765;55;1688507000;4258320.100000001;77424.00181818183;16272.413626945501;0.7626981302593104;0.9590786102607666;0.8155486182648888;0.9107345638614455;0.9561648139246686
445;2;2021;76;15283;103765;55;1688507000;398380;7243.272727272727;16272.413626945501;0.644317947631733;0.7572363227691251;0.8155486182648888;0.7576069443545386;0.8328067898204092
445;3;2021;76;15283;103765;55;1688507000;103765;1886.6363636363637;16272.413626945501;0.5771003534639291;0.6426548447395886;0.8155486182648888;0.6706781503170827;0.7579017535129883
460;1;2021;22;15298;349935;148;5478765000;14909754.499999998;100741.58445945945;15656.52192550045;0.8253123841532949;0.9815077182871882;0.8123039064203892;0.932047422500439;0.9725454817753955
460;2;2021;22;15298;349935;148;5478765000;1587310;10725.067567567568;15656.52192550045;0.7133901428149044;0.7906735965645892;0.8123039064203892;0.7872713131607807;0.8575226151869314
460;3;2021;22;15298;349935;148;5478765000;349935;2364.425675675676;15656.52192550045;0.6378394466872297;0.661878270403644;0.8123039064203892;0.6895595152353515;0.7744975902622079
465;1;2021;25;15303;225668;137;6029075000;9961011.600000001;72708.11386861315;26716.570359997873;0.805159304755574;0.9537245160540356;0.8572447907814359;0.9195720498696696;0.9629792067026375
465;2;2021;25;15303;225668;137;6029075000;1188390;8674.379562043796;26716.570359997873;0.6989279698074822;0.7725956254071662;0.8572447907814359;0.7821586929220516;0.853292266606688
