keycontagemfarmacias;qtdfarmacias;nomecidadecontagem;ufcontagem;codigoibge
175;20;Pedreira;SP;3537107
176;20;Rancharia;SP;3542206
177;20;Ibaté;SP;3519303
178;19;Angatuba;SP;3502200
179;19;Bariri;SP;3505203
180;19;São Manuel;SP;3550100
181;19;Agudos;SP;3500709
182;19;Orlândia;SP;3534302
183;19;Embu-Guaçu;SP;3515103
184;19;Salto de Pirapora;SP;3545308
185;18;Itaberá;SP;3521705
186;18;Casa Branca;SP;3510807
187;18;Itajobi;SP;3521903
188;18;Américo Brasiliense;SP;3501707
189;18;Promissão;SP;3541604
190;18;Santa Rita do Passa Quatro;SP;3547502
191;18;Jardinópolis;SP;3525102
192;18;Buri;SP;3508009
193;18;Socorro;SP;3552106
194;18;Pirapozinho;SP;3539202
195;18;Presidente Venceslau;SP;3541505
196;17;Serrana;SP;3551504
197;17;Aparecida;SP;3502507
198;17;Viradouro;SP;3556800
199;17;Auriflama;SP;3504206
200;17;Nova Granada;SP;3533007
201;17;Paranapanema;SP;3535804
202;17;Iguape;SP;3520301
203;17;Jarinu;SP;3525201
204;17;Cajuru;SP;3509403
205;17;Cachoeira Paulista;SP;3508603
206;17;Rosana;SP;3544251
207;17;Monte Azul Paulista;SP;3531506
208;17;Pilar do Sul;SP;3537909
209;17;Palmital;SP;3535309
210;17;Pitangueiras;SP;3539509
211;17;Pontal;SP;3540200
212;17;Guararapes;SP;3518206
213;16;Urupês;SP;3556008
214;16;Guapiaçu;SP;3517505
215;16;Borborema;SP;3507407
216;16;Santa Cruz das Palmeiras;SP;3546306
217;16;Ituverava;SP;3524105
218;16;Barrinha;SP;3505609
219;16;Dois Córregos;SP;3514106
220;16;Guararema;SP;3518305
221;15;Brotas;SP;3507902
222;15;Laranjal Paulista;SP;3526407
223;15;Engenheiro Coelho;SP;3515152
224;15;Pompéia;SP;3540002
225;15;Piraju;SP;3538808
226;15;Ilhabela;SP;3520400
227;15;Igarapava;SP;3520103
228;15;Osvaldo Cruz;SP;3534609
229;14;Teodoro Sampaio;SP;3554300
230;14;Altinópolis;SP;3501004
231;14;Colina;SP;3512001
232;14;Martinópolis;SP;3529203
233;14;Rio das Pedras;SP;3544004
234;14;Santa Adélia;SP;3545605
235;14;Ouroeste;SP;3534757
236;14;Fartura;SP;3515400
237;14;Buritama;SP;3508108
238;14;Águas de Lindóia;SP;3500501
239;14;Tremembé;SP;3554805
240;14;Cerqueira César;SP;3511409
241;14;Conchal;SP;3512209
242;14;Cândido Mota;SP;3510005
243;14;Lucélia;SP;3527405
244;14;Biritiba-Mirim;SP;3506607
245;13;Piracaia;SP;3538600
246;13;Pirajuí;SP;3538907
247;13;Guará;SP;3517703
248;13;Santa Gertrudes;SP;3546702
249;13;Bastos;SP;3505807
250;13;Taquarituba;SP;3553807
251;13;Guapiara;SP;3517604
252;13;Pedregulho;SP;3537008
253;13;Pradópolis;SP;3540903
254;13;Bálsamo;SP;3504800
255;13;Ilha Comprida;SP;3520426
256;13;General Salgado;SP;3516903
257;12;Junqueirópolis;SP;3526001
258;12;Capela do Alto;SP;3510302
259;12;Santa Rosa de Viterbo;SP;3547601
260;12;Valparaíso;SP;3556305
261;12;Severínia;SP;3551900
262;12;Regente Feijó;SP;3542404
