keycidadepotencial;anoscore;keycontagemfarmacias;keypib;populacaototal;qtdfarmacias;valorpibcomercioservicos;scorefinalnormmedio;scorefinalnormmax;rankingglobal
641;2021;67;15479;127923;61;1897868000;0.8528543932687329;0.960204920835797;68
327;2021;17;15165;237627;166;6118665000;0.8511267477047988;0.9555435055776906;69
186;2021;12;15024;352536;225;6913824000;0.850602266720904;0.956010355902051;70
585;2021;18;15424;307429;166;5335113000;0.8504630256249102;0.9585870489865284;71
253;2021;60;15091;112476;64;1451542000;0.8501551585270016;0.9537713566533307;72
445;2021;76;15283;103765;55;1688507000;0.8489577857526887;0.9561648139246686;73
74;2021;54;14910;118979;73;2179371000;0.8489167966712318;0.9546054312809416;74
188;2021;58;15026;144849;68;1871368000;0.8479243607524894;0.9570466885122793;75
187;2021;64;15025;165139;62;988959000;0.8467665199632389;0.9565560318152515;76
127;2021;44;14963;115791;92;3239255000;0.8449890333883543;0.9494476002422094;77
63;2021;40;14899;122485;98;3146638000;0.8402287205133671;0.9463316277710283;78
