keypopulacao;contagempop;faixaetariapop;sexopop;nomecidadepopulacao;ufpopulacao;codigoibge
6842;6304;05-09;M;Ferraz de Vasconcelos;SP;3515707
6843;6207;10-14;M;Ferraz de Vasconcelos;SP;3515707
6844;6421;15-19;M;Ferraz de Vasconcelos;SP;3515707
6845;7263;20-24;M;Ferraz de Vasconcelos;SP;3515707
6846;7281;25-29;M;Ferraz de Vasconcelos;SP;3515707
6847;7197;30-34;M;Ferraz de Vasconcelos;SP;3515707
6848;7685;35-39;M;Ferraz de Vasconcelos;SP;3515707
6849;7501;40-44;M;Ferraz de Vasconcelos;SP;3515707
6850;6610;45-49;M;Ferraz de Vasconcelos;SP;3515707
6851;6025;50-54;M;Ferraz de Vasconcelos;SP;3515707
6852;5310;55-59;M;Ferraz de Vasconcelos;SP;3515707
6853;4427;60-64;M;Ferraz de Vasconcelos;SP;3515707
6854;3428;65-69;M;Ferraz de Vasconcelos;SP;3515707
6855;2342;70-74;M;Ferraz de Vasconcelos;SP;3515707
6856;1387;75-79;M;Ferraz de Vasconcelos;SP;3515707
6857;786;80-84;M;Ferraz de Vasconcelos;SP;3515707
6858;412;85-89;M;Ferraz de Vasconcelos;SP;3515707
6859;229;90+;M;Ferraz de Vasconcelos;SP;3515707
6860;5927;00-04;H;Ferraz de Vasconcelos;SP;3515707
6861;6699;05-09;H;Ferraz de Vasconcelos;SP;3515707
6862;6405;10-14;H;Ferraz de Vasconcelos;SP;3515707
6863;6766;15-19;H;Ferraz de Vasconcelos;SP;3515707
6864;7250;20-24;H;Ferraz de Vasconcelos;SP;3515707
6865;7199;25-29;H;Ferraz de Vasconcelos;SP;3515707
6866;6828;30-34;H;Ferraz de Vasconcelos;SP;3515707
6867;7119;35-39;H;Ferraz de Vasconcelos;SP;3515707
6868;6693;40-44;H;Ferraz de Vasconcelos;SP;3515707
6869;5771;45-49;H;Ferraz de Vasconcelos;SP;3515707
6870;5476;50-54;H;Ferraz de Vasconcelos;SP;3515707
6871;4579;55-59;H;Ferraz de Vasconcelos;SP;3515707
6872;3728;60-64;H;Ferraz de Vasconcelos;SP;3515707
6873;2768;65-69;H;Ferraz de Vasconcelos;SP;3515707
6874;1751;70-74;H;Ferraz de Vasconcelos;SP;3515707
6875;918;75-79;H;Ferraz de Vasconcelos;SP;3515707
6876;479;80-84;H;Ferraz de Vasconcelos;SP;3515707
6877;188;85-89;H;Ferraz de Vasconcelos;SP;3515707
6878;85;90+;H;Ferraz de Vasconcelos;SP;3515707
6879;36;00-04;M;Flora Rica;SP;3515806
6880;38;05-09;M;Flora Rica;SP;3515806
6881;35;10-14;M;Flora Rica;SP;3515806
6882;44;15-19;M;Flora Rica;SP;3515806
6883;36;20-24;M;Flora Rica;SP;3515806
6884;32;25-29;M;Flora Rica;SP;3515806
6885;47;30-34;M;Flora Rica;SP;3515806
6886;50;35-39;M;Flora Rica;SP;3515806
6887;52;40-44;M;Flora Rica;SP;3515806
6888;40;45-49;M;Flora Rica;SP;3515806
6889;64;50-54;M;Flora Rica;SP;3515806
6890;70;55-59;M;Flora Rica;SP;3515806
6891;55;60-64;M;Flora Rica;SP;3515806
6892;42;65-69;M;Flora Rica;SP;3515806
6893;47;70-74;M;Flora Rica;SP;3515806
6894;35;75-79;M;Flora Rica;SP;3515806
6895;19;80-84;M;Flora Rica;SP;3515806
6896;9;85-89;M;Flora Rica;SP;3515806
6897;6;90+;M;Flora Rica;SP;3515806
6898;29;00-04;H;Flora Rica;SP;3515806
6899;44;05-09;H;Flora Rica;SP;3515806
6900;46;10-14;H;Flora Rica;SP;3515806
6901;46;15-19;H;Flora Rica;SP;3515806
6902;37;20-24;H;Flora Rica;SP;3515806
6903;43;25-29;H;Flora Rica;SP;3515806
6904;45;30-34;H;Flora Rica;SP;3515806
6905;37;35-39;H;Flora Rica;SP;3515806
6906;42;40-44;H;Flora Rica;SP;3515806
6907;47;45-49;H;Flora Rica;SP;3515806
6908;55;50-54;H;Flora Rica;SP;3515806
6909;62;55-59;H;Flora Rica;SP;3515806
6910;52;60-64;H;Flora Rica;SP;3515806
6911;44;65-69;H;Flora Rica;SP;3515806
6912;41;70-74;H;Flora Rica;SP;3515806
6913;28;75-79;H;Flora Rica;SP;3515806
6914;15;80-84;H;Flora Rica;SP;3515806
6915;10;85-89;H;Flora Rica;SP;3515806
6916;7;90+;H;Flora Rica;SP;3515806
6917;41;00-04;M;Floreal;SP;3515905
6918;63;05-09;M;Floreal;SP;3515905
6919;64;10-14;M;Floreal;SP;3515905
6920;71;15-19;M;Floreal;SP;3515905
6921;64;20-24;M;Floreal;SP;3515905
6922;64;25-29;M;Floreal;SP;3515905
6923;79;30-34;M;Floreal;SP;3515905
6924;81;35-39;M;Floreal;SP;3515905
6925;92;40-44;M;Floreal;SP;3515905
6926;107;45-49;M;Floreal;SP;3515905
6927;102;50-54;M;Floreal;SP;3515905
6928;130;55-59;M;Floreal;SP;3515905
6929;101;60-64;M;Floreal;SP;3515905
6930;109;65-69;M;Floreal;SP;3515905
6931;93;70-74;M;Floreal;SP;3515905
6932;56;75-79;M;Floreal;SP;3515905
6933;42;80-84;M;Floreal;SP;3515905
6934;32;85-89;M;Floreal;SP;3515905
6935;14;90+;M;Floreal;SP;3515905
6936;56;00-04;H;Floreal;SP;3515905
6937;71;05-09;H;Floreal;SP;3515905
6938;56;10-14;H;Floreal;SP;3515905
6939;90;15-19;H;Floreal;SP;3515905
6940;66;20-24;H;Floreal;SP;3515905
6941;76;25-29;H;Floreal;SP;3515905
6942;75;30-34;H;Floreal;SP;3515905
6943;75;35-39;H;Floreal;SP;3515905
6944;95;40-44;H;Floreal;SP;3515905
6945;88;45-49;H;Floreal;SP;3515905
6946;88;50-54;H;Floreal;SP;3515905
6947;103;55-59;H;Floreal;SP;3515905
6948;109;60-64;H;Floreal;SP;3515905
6949;91;65-69;H;Floreal;SP;3515905
6950;69;70-74;H;Floreal;SP;3515905
6951;60;75-79;H;Floreal;SP;3515905
6952;31;80-84;H;Floreal;SP;3515905
6953;17;85-89;H;Floreal;SP;3515905
6954;12;90+;H;Floreal;SP;3515905
6955;310;00-04;M;Flórida Paulista;SP;3516002
6956;303;05-09;M;Flórida Paulista;SP;3516002
6957;347;10-14;M;Flórida Paulista;SP;3516002
6958;338;15-19;M;Flórida Paulista;SP;3516002
6959;408;20-24;M;Flórida Paulista;SP;3516002
6960;388;25-29;M;Flórida Paulista;SP;3516002
6961;419;30-34;M;Flórida Paulista;SP;3516002
6962;381;35-39;M;Flórida Paulista;SP;3516002
6963;431;40-44;M;Flórida Paulista;SP;3516002
6964;389;45-49;M;Flórida Paulista;SP;3516002
6965;426;50-54;M;Flórida Paulista;SP;3516002
6966;409;55-59;M;Flórida Paulista;SP;3516002
6967;375;60-64;M;Flórida Paulista;SP;3516002
6968;297;65-69;M;Flórida Paulista;SP;3516002
6969;245;70-74;M;Flórida Paulista;SP;3516002
6970;193;75-79;M;Flórida Paulista;SP;3516002
6971;112;80-84;M;Flórida Paulista;SP;3516002
6972;74;85-89;M;Flórida Paulista;SP;3516002
6973;24;90+;M;Flórida Paulista;SP;3516002
6974;314;00-04;H;Flórida Paulista;SP;3516002
6975;359;05-09;H;Flórida Paulista;SP;3516002
6976;339;10-14;H;Flórida Paulista;SP;3516002
6977;386;15-19;H;Flórida Paulista;SP;3516002
6978;574;20-24;H;Flórida Paulista;SP;3516002
6979;770;25-29;H;Flórida Paulista;SP;3516002
6980;735;30-34;H;Flórida Paulista;SP;3516002
6981;612;35-39;H;Flórida Paulista;SP;3516002
6982;560;40-44;H;Flórida Paulista;SP;3516002
6983;473;45-49;H;Flórida Paulista;SP;3516002
6984;406;50-54;H;Flórida Paulista;SP;3516002
6985;400;55-59;H;Flórida Paulista;SP;3516002
6986;371;60-64;H;Flórida Paulista;SP;3516002
6987;271;65-69;H;Flórida Paulista;SP;3516002
6988;215;70-74;H;Flórida Paulista;SP;3516002
6989;144;75-79;H;Flórida Paulista;SP;3516002
6990;85;80-84;H;Flórida Paulista;SP;3516002
6991;50;85-89;H;Flórida Paulista;SP;3516002
6992;25;90+;H;Flórida Paulista;SP;3516002
6993;64;00-04;M;Florínea;SP;3516101
6994;100;05-09;M;Florínea;SP;3516101
6995;82;10-14;M;Florínea;SP;3516101
6996;76;15-19;M;Florínea;SP;3516101
6997;82;20-24;M;Florínea;SP;3516101
6998;81;25-29;M;Florínea;SP;3516101
6999;78;30-34;M;Florínea;SP;3516101
7000;93;35-39;M;Florínea;SP;3516101
7001;112;40-44;M;Florínea;SP;3516101
7002;95;45-49;M;Florínea;SP;3516101
7003;102;50-54;M;Florínea;SP;3516101
7004;101;55-59;M;Florínea;SP;3516101
7005;97;60-64;M;Florínea;SP;3516101
7006;76;65-69;M;Florínea;SP;3516101
7007;50;70-74;M;Florínea;SP;3516101
7008;36;75-79;M;Florínea;SP;3516101
7009;21;80-84;M;Florínea;SP;3516101
7010;13;85-89;M;Florínea;SP;3516101
7011;7;90+;M;Florínea;SP;3516101
7012;79;00-04;H;Florínea;SP;3516101
7013;92;05-09;H;Florínea;SP;3516101
7014;89;10-14;H;Florínea;SP;3516101
7015;93;15-19;H;Florínea;SP;3516101
7016;152;20-24;H;Florínea;SP;3516101
7017;296;25-29;H;Florínea;SP;3516101
7018;336;30-34;H;Florínea;SP;3516101
7019;319;35-39;H;Florínea;SP;3516101
7020;281;40-44;H;Florínea;SP;3516101
7021;193;45-49;H;Florínea;SP;3516101
7022;130;50-54;H;Florínea;SP;3516101
7023;110;55-59;H;Florínea;SP;3516101
7024;101;60-64;H;Florínea;SP;3516101
7025;82;65-69;H;Florínea;SP;3516101
7026;67;70-74;H;Florínea;SP;3516101
7027;41;75-79;H;Florínea;SP;3516101
7028;15;80-84;H;Florínea;SP;3516101
7029;5;85-89;H;Florínea;SP;3516101
7030;4;90+;H;Florínea;SP;3516101
7031;9944;00-04;M;Franca;SP;3516200
7032;10909;05-09;M;Franca;SP;3516200
7033;10291;10-14;M;Franca;SP;3516200
7034;11480;15-19;M;Franca;SP;3516200
7035;13249;20-24;M;Franca;SP;3516200
7036;13279;25-29;M;Franca;SP;3516200
7037;14030;30-34;M;Franca;SP;3516200
7038;14177;35-39;M;Franca;SP;3516200
7039;14199;40-44;M;Franca;SP;3516200
7040;12421;45-49;M;Franca;SP;3516200
7041;12229;50-54;M;Franca;SP;3516200
7042;11352;55-59;M;Franca;SP;3516200
7043;10218;60-64;M;Franca;SP;3516200
7044;8302;65-69;M;Franca;SP;3516200
7045;6258;70-74;M;Franca;SP;3516200
7046;4170;75-79;M;Franca;SP;3516200
7047;2761;80-84;M;Franca;SP;3516200
7048;1514;85-89;M;Franca;SP;3516200
7049;864;90+;M;Franca;SP;3516200
7050;10512;00-04;H;Franca;SP;3516200
7051;11577;05-09;H;Franca;SP;3516200
7052;10830;10-14;H;Franca;SP;3516200
7053;11928;15-19;H;Franca;SP;3516200
7054;13260;20-24;H;Franca;SP;3516200
7055;13250;25-29;H;Franca;SP;3516200
7056;13539;30-34;H;Franca;SP;3516200
7057;13378;35-39;H;Franca;SP;3516200
7058;13303;40-44;H;Franca;SP;3516200
7059;11451;45-49;H;Franca;SP;3516200
7060;11185;50-54;H;Franca;SP;3516200
7061;10184;55-59;H;Franca;SP;3516200
7062;8704;60-64;H;Franca;SP;3516200
7063;6795;65-69;H;Franca;SP;3516200
7064;4819;70-74;H;Franca;SP;3516200
7065;3020;75-79;H;Franca;SP;3516200
7066;1846;80-84;H;Franca;SP;3516200
7067;882;85-89;H;Franca;SP;3516200
7068;426;90+;H;Franca;SP;3516200
7069;6013;00-04;M;Francisco Morato;SP;3516309
7070;5932;05-09;M;Francisco Morato;SP;3516309
7071;5828;10-14;M;Francisco Morato;SP;3516309
7072;6354;15-19;M;Francisco Morato;SP;3516309
7073;7000;20-24;M;Francisco Morato;SP;3516309
7074;7020;25-29;M;Francisco Morato;SP;3516309
7075;6883;30-34;M;Francisco Morato;SP;3516309
7076;6819;35-39;M;Francisco Morato;SP;3516309
7077;6439;40-44;M;Francisco Morato;SP;3516309
7078;5531;45-49;M;Francisco Morato;SP;3516309
7079;4986;50-54;M;Francisco Morato;SP;3516309
7080;4483;55-59;M;Francisco Morato;SP;3516309
7081;4088;60-64;M;Francisco Morato;SP;3516309
7082;3108;65-69;M;Francisco Morato;SP;3516309
7083;1933;70-74;M;Francisco Morato;SP;3516309
7084;1030;75-79;M;Francisco Morato;SP;3516309
7085;531;80-84;M;Francisco Morato;SP;3516309
7086;251;85-89;M;Francisco Morato;SP;3516309
7087;156;90+;M;Francisco Morato;SP;3516309
7088;6211;00-04;H;Francisco Morato;SP;3516309
7089;6364;05-09;H;Francisco Morato;SP;3516309
7090;6291;10-14;H;Francisco Morato;SP;3516309
7091;6595;15-19;H;Francisco Morato;SP;3516309
7092;6935;20-24;H;Francisco Morato;SP;3516309
7093;6880;25-29;H;Francisco Morato;SP;3516309
7094;6500;30-34;H;Francisco Morato;SP;3516309
7095;6389;35-39;H;Francisco Morato;SP;3516309
7096;6093;40-44;H;Francisco Morato;SP;3516309
7097;4984;45-49;H;Francisco Morato;SP;3516309
7098;4508;50-54;H;Francisco Morato;SP;3516309
7099;3733;55-59;H;Francisco Morato;SP;3516309
7100;3419;60-64;H;Francisco Morato;SP;3516309
7101;2676;65-69;H;Francisco Morato;SP;3516309
7102;1819;70-74;H;Francisco Morato;SP;3516309
7103;724;75-79;H;Francisco Morato;SP;3516309
7104;418;80-84;H;Francisco Morato;SP;3516309
7105;152;85-89;H;Francisco Morato;SP;3516309
7106;63;90+;H;Francisco Morato;SP;3516309
7107;4522;00-04;M;Franco da Rocha;SP;3516408
7108;4845;05-09;M;Franco da Rocha;SP;3516408
7109;4814;10-14;M;Franco da Rocha;SP;3516408
7110;5021;15-19;M;Franco da Rocha;SP;3516408
7111;5616;20-24;M;Franco da Rocha;SP;3516408
7112;5432;25-29;M;Franco da Rocha;SP;3516408
7113;5731;30-34;M;Franco da Rocha;SP;3516408
7114;6183;35-39;M;Franco da Rocha;SP;3516408
7115;6314;40-44;M;Franco da Rocha;SP;3516408
7116;5205;45-49;M;Franco da Rocha;SP;3516408
7117;4460;50-54;M;Franco da Rocha;SP;3516408
7118;3724;55-59;M;Franco da Rocha;SP;3516408
7119;3334;60-64;M;Franco da Rocha;SP;3516408
7120;2795;65-69;M;Franco da Rocha;SP;3516408
7121;1944;70-74;M;Franco da Rocha;SP;3516408
7122;1069;75-79;M;Franco da Rocha;SP;3516408
7123;630;80-84;M;Franco da Rocha;SP;3516408
7124;285;85-89;M;Franco da Rocha;SP;3516408
7125;180;90+;M;Franco da Rocha;SP;3516408
7126;4491;00-04;H;Franco da Rocha;SP;3516408
7127;5365;05-09;H;Franco da Rocha;SP;3516408
7128;4966;10-14;H;Franco da Rocha;SP;3516408
7129;5474;15-19;H;Franco da Rocha;SP;3516408
7130;6351;20-24;H;Franco da Rocha;SP;3516408
7245;1446;25-29;H;Garça;SP;3516705
7131;6366;25-29;H;Franco da Rocha;SP;3516408
7132;6263;30-34;H;Franco da Rocha;SP;3516408
7133;6363;35-39;H;Franco da Rocha;SP;3516408
7134;6321;40-44;H;Franco da Rocha;SP;3516408
7135;5054;45-49;H;Franco da Rocha;SP;3516408
7136;4287;50-54;H;Franco da Rocha;SP;3516408
7137;3281;55-59;H;Franco da Rocha;SP;3516408
7138;2796;60-64;H;Franco da Rocha;SP;3516408
7139;2292;65-69;H;Franco da Rocha;SP;3516408
7140;1650;70-74;H;Franco da Rocha;SP;3516408
7141;804;75-79;H;Franco da Rocha;SP;3516408
7142;403;80-84;H;Franco da Rocha;SP;3516408
7143;154;85-89;H;Franco da Rocha;SP;3516408
7144;64;90+;H;Franco da Rocha;SP;3516408
7145;75;00-04;M;Gabriel Monteiro;SP;3516507
7146;72;05-09;M;Gabriel Monteiro;SP;3516507
7147;71;10-14;M;Gabriel Monteiro;SP;3516507
7148;74;15-19;M;Gabriel Monteiro;SP;3516507
7149;68;20-24;M;Gabriel Monteiro;SP;3516507
7150;76;25-29;M;Gabriel Monteiro;SP;3516507
7151;89;30-34;M;Gabriel Monteiro;SP;3516507
7152;96;35-39;M;Gabriel Monteiro;SP;3516507
7153;97;40-44;M;Gabriel Monteiro;SP;3516507
7154;99;45-49;M;Gabriel Monteiro;SP;3516507
7155;112;50-54;M;Gabriel Monteiro;SP;3516507
7156;110;55-59;M;Gabriel Monteiro;SP;3516507
7157;91;60-64;M;Gabriel Monteiro;SP;3516507
7158;79;65-69;M;Gabriel Monteiro;SP;3516507
7159;59;70-74;M;Gabriel Monteiro;SP;3516507
7160;53;75-79;M;Gabriel Monteiro;SP;3516507
7161;35;80-84;M;Gabriel Monteiro;SP;3516507
7162;17;85-89;M;Gabriel Monteiro;SP;3516507
7163;6;90+;M;Gabriel Monteiro;SP;3516507
7164;58;00-04;H;Gabriel Monteiro;SP;3516507
7165;91;05-09;H;Gabriel Monteiro;SP;3516507
7166;90;10-14;H;Gabriel Monteiro;SP;3516507
7167;82;15-19;H;Gabriel Monteiro;SP;3516507
7168;76;20-24;H;Gabriel Monteiro;SP;3516507
7169;66;25-29;H;Gabriel Monteiro;SP;3516507
7170;96;30-34;H;Gabriel Monteiro;SP;3516507
7171;104;35-39;H;Gabriel Monteiro;SP;3516507
7172;87;40-44;H;Gabriel Monteiro;SP;3516507
7173;103;45-49;H;Gabriel Monteiro;SP;3516507
7174;123;50-54;H;Gabriel Monteiro;SP;3516507
7175;99;55-59;H;Gabriel Monteiro;SP;3516507
7176;74;60-64;H;Gabriel Monteiro;SP;3516507
7177;76;65-69;H;Gabriel Monteiro;SP;3516507
7178;75;70-74;H;Gabriel Monteiro;SP;3516507
7179;38;75-79;H;Gabriel Monteiro;SP;3516507
7180;27;80-84;H;Gabriel Monteiro;SP;3516507
7181;13;85-89;H;Gabriel Monteiro;SP;3516507
7182;6;90+;H;Gabriel Monteiro;SP;3516507
7183;158;00-04;M;Gália;SP;3516606
7184;171;05-09;M;Gália;SP;3516606
7185;175;10-14;M;Gália;SP;3516606
7186;194;15-19;M;Gália;SP;3516606
7187;171;20-24;M;Gália;SP;3516606
7188;194;25-29;M;Gália;SP;3516606
7189;204;30-34;M;Gália;SP;3516606
7190;225;35-39;M;Gália;SP;3516606
7191;267;40-44;M;Gália;SP;3516606
7192;251;45-49;M;Gália;SP;3516606
7193;214;50-54;M;Gália;SP;3516606
7194;216;55-59;M;Gália;SP;3516606
7195;208;60-64;M;Gália;SP;3516606
7196;197;65-69;M;Gália;SP;3516606
7197;155;70-74;M;Gália;SP;3516606
7198;108;75-79;M;Gália;SP;3516606
7199;68;80-84;M;Gália;SP;3516606
7200;52;85-89;M;Gália;SP;3516606
7201;22;90+;M;Gália;SP;3516606
7202;158;00-04;H;Gália;SP;3516606
7203;188;05-09;H;Gália;SP;3516606
7204;200;10-14;H;Gália;SP;3516606
7205;176;15-19;H;Gália;SP;3516606
7206;171;20-24;H;Gália;SP;3516606
7207;190;25-29;H;Gália;SP;3516606
7208;200;30-34;H;Gália;SP;3516606
7209;229;35-39;H;Gália;SP;3516606
7210;257;40-44;H;Gália;SP;3516606
7211;227;45-49;H;Gália;SP;3516606
7212;231;50-54;H;Gália;SP;3516606
7213;209;55-59;H;Gália;SP;3516606
7214;194;60-64;H;Gália;SP;3516606
7215;174;65-69;H;Gália;SP;3516606
7216;150;70-74;H;Gália;SP;3516606
7217;90;75-79;H;Gália;SP;3516606
7218;45;80-84;H;Gália;SP;3516606
7219;29;85-89;H;Gália;SP;3516606
7220;12;90+;H;Gália;SP;3516606
7221;1105;00-04;M;Garça;SP;3516705
7222;1202;05-09;M;Garça;SP;3516705
7223;1198;10-14;M;Garça;SP;3516705
7224;1305;15-19;M;Garça;SP;3516705
7225;1407;20-24;M;Garça;SP;3516705
7226;1394;25-29;M;Garça;SP;3516705
7227;1493;30-34;M;Garça;SP;3516705
7228;1579;35-39;M;Garça;SP;3516705
7229;1696;40-44;M;Garça;SP;3516705
7230;1632;45-49;M;Garça;SP;3516705
7231;1522;50-54;M;Garça;SP;3516705
7232;1412;55-59;M;Garça;SP;3516705
7233;1341;60-64;M;Garça;SP;3516705
7234;1184;65-69;M;Garça;SP;3516705
7235;931;70-74;M;Garça;SP;3516705
7236;618;75-79;M;Garça;SP;3516705
7237;395;80-84;M;Garça;SP;3516705
7238;266;85-89;M;Garça;SP;3516705
7239;149;90+;M;Garça;SP;3516705
7240;1167;00-04;H;Garça;SP;3516705
7241;1165;05-09;H;Garça;SP;3516705
7242;1270;10-14;H;Garça;SP;3516705
7243;1352;15-19;H;Garça;SP;3516705
7244;1505;20-24;H;Garça;SP;3516705
7246;1491;30-34;H;Garça;SP;3516705
7247;1457;35-39;H;Garça;SP;3516705
7248;1590;40-44;H;Garça;SP;3516705
7249;1420;45-49;H;Garça;SP;3516705
7250;1363;50-54;H;Garça;SP;3516705
7251;1229;55-59;H;Garça;SP;3516705
7252;1153;60-64;H;Garça;SP;3516705
7253;1007;65-69;H;Garça;SP;3516705
7254;737;70-74;H;Garça;SP;3516705
7255;475;75-79;H;Garça;SP;3516705
7256;276;80-84;H;Garça;SP;3516705
7257;112;85-89;H;Garça;SP;3516705
7258;66;90+;H;Garça;SP;3516705
7259;73;00-04;M;Gastão Vidigal;SP;3516804
7260;102;05-09;M;Gastão Vidigal;SP;3516804
7261;107;10-14;M;Gastão Vidigal;SP;3516804
7262;126;15-19;M;Gastão Vidigal;SP;3516804
7263;93;20-24;M;Gastão Vidigal;SP;3516804
7264;90;25-29;M;Gastão Vidigal;SP;3516804
7265;104;30-34;M;Gastão Vidigal;SP;3516804
7266;121;35-39;M;Gastão Vidigal;SP;3516804
7267;125;40-44;M;Gastão Vidigal;SP;3516804
7268;112;45-49;M;Gastão Vidigal;SP;3516804
7269;115;50-54;M;Gastão Vidigal;SP;3516804
7270;106;55-59;M;Gastão Vidigal;SP;3516804
7271;107;60-64;M;Gastão Vidigal;SP;3516804
7272;91;65-69;M;Gastão Vidigal;SP;3516804
7273;85;70-74;M;Gastão Vidigal;SP;3516804
7274;55;75-79;M;Gastão Vidigal;SP;3516804
7275;33;80-84;M;Gastão Vidigal;SP;3516804
7276;20;85-89;M;Gastão Vidigal;SP;3516804
7277;9;90+;M;Gastão Vidigal;SP;3516804
7278;73;00-04;H;Gastão Vidigal;SP;3516804
7279;112;05-09;H;Gastão Vidigal;SP;3516804
7280;98;10-14;H;Gastão Vidigal;SP;3516804
7281;112;15-19;H;Gastão Vidigal;SP;3516804
7282;97;20-24;H;Gastão Vidigal;SP;3516804
7283;87;25-29;H;Gastão Vidigal;SP;3516804
7284;87;30-34;H;Gastão Vidigal;SP;3516804
7285;139;35-39;H;Gastão Vidigal;SP;3516804
7286;123;40-44;H;Gastão Vidigal;SP;3516804
7287;102;45-49;H;Gastão Vidigal;SP;3516804
7288;98;50-54;H;Gastão Vidigal;SP;3516804
7289;111;55-59;H;Gastão Vidigal;SP;3516804
7290;95;60-64;H;Gastão Vidigal;SP;3516804
7291;75;65-69;H;Gastão Vidigal;SP;3516804
7292;67;70-74;H;Gastão Vidigal;SP;3516804
7293;59;75-79;H;Gastão Vidigal;SP;3516804
7294;25;80-84;H;Gastão Vidigal;SP;3516804
7295;13;85-89;H;Gastão Vidigal;SP;3516804
7296;5;90+;H;Gastão Vidigal;SP;3516804
7297;153;00-04;M;Gavião Peixoto;SP;3516853
7298;168;05-09;M;Gavião Peixoto;SP;3516853
7299;155;10-14;M;Gavião Peixoto;SP;3516853
7300;163;15-19;M;Gavião Peixoto;SP;3516853
7301;180;20-24;M;Gavião Peixoto;SP;3516853
7302;172;25-29;M;Gavião Peixoto;SP;3516853
7303;204;30-34;M;Gavião Peixoto;SP;3516853
7304;169;35-39;M;Gavião Peixoto;SP;3516853
7305;188;40-44;M;Gavião Peixoto;SP;3516853
7306;146;45-49;M;Gavião Peixoto;SP;3516853
7307;155;50-54;M;Gavião Peixoto;SP;3516853
7308;145;55-59;M;Gavião Peixoto;SP;3516853
7309;111;60-64;M;Gavião Peixoto;SP;3516853
7310;83;65-69;M;Gavião Peixoto;SP;3516853
7311;67;70-74;M;Gavião Peixoto;SP;3516853
7312;53;75-79;M;Gavião Peixoto;SP;3516853
7313;29;80-84;M;Gavião Peixoto;SP;3516853
7314;17;85-89;M;Gavião Peixoto;SP;3516853
7315;9;90+;M;Gavião Peixoto;SP;3516853
7316;172;00-04;H;Gavião Peixoto;SP;3516853
7317;162;05-09;H;Gavião Peixoto;SP;3516853
7318;163;10-14;H;Gavião Peixoto;SP;3516853
7319;165;15-19;H;Gavião Peixoto;SP;3516853
7320;148;20-24;H;Gavião Peixoto;SP;3516853
7321;166;25-29;H;Gavião Peixoto;SP;3516853
7322;184;30-34;H;Gavião Peixoto;SP;3516853
7323;199;35-39;H;Gavião Peixoto;SP;3516853
7324;177;40-44;H;Gavião Peixoto;SP;3516853
7325;155;45-49;H;Gavião Peixoto;SP;3516853
7326;144;50-54;H;Gavião Peixoto;SP;3516853
7327;138;55-59;H;Gavião Peixoto;SP;3516853
7328;131;60-64;H;Gavião Peixoto;SP;3516853
7329;87;65-69;H;Gavião Peixoto;SP;3516853
7330;59;70-74;H;Gavião Peixoto;SP;3516853
7331;36;75-79;H;Gavião Peixoto;SP;3516853
7332;22;80-84;H;Gavião Peixoto;SP;3516853
7333;19;85-89;H;Gavião Peixoto;SP;3516853
7334;8;90+;H;Gavião Peixoto;SP;3516853
7335;251;00-04;M;General Salgado;SP;3516903
7336;301;05-09;M;General Salgado;SP;3516903
7337;285;10-14;M;General Salgado;SP;3516903
7338;280;15-19;M;General Salgado;SP;3516903
7339;282;20-24;M;General Salgado;SP;3516903
7340;310;25-29;M;General Salgado;SP;3516903
7341;321;30-34;M;General Salgado;SP;3516903
7342;379;35-39;M;General Salgado;SP;3516903
7343;375;40-44;M;General Salgado;SP;3516903
7344;375;45-49;M;General Salgado;SP;3516903
7345;380;50-54;M;General Salgado;SP;3516903
7346;403;55-59;M;General Salgado;SP;3516903
7347;374;60-64;M;General Salgado;SP;3516903
7348;323;65-69;M;General Salgado;SP;3516903
7349;222;70-74;M;General Salgado;SP;3516903
7350;175;75-79;M;General Salgado;SP;3516903
7351;118;80-84;M;General Salgado;SP;3516903
7352;50;85-89;M;General Salgado;SP;3516903
7353;30;90+;M;General Salgado;SP;3516903
7471;417;15-19;H;Guaiçara;SP;3517208
7354;243;00-04;H;General Salgado;SP;3516903
7355;321;05-09;H;General Salgado;SP;3516903
7356;302;10-14;H;General Salgado;SP;3516903
7357;312;15-19;H;General Salgado;SP;3516903
7358;337;20-24;H;General Salgado;SP;3516903
7359;295;25-29;H;General Salgado;SP;3516903
7360;352;30-34;H;General Salgado;SP;3516903
7361;383;35-39;H;General Salgado;SP;3516903
7362;347;40-44;H;General Salgado;SP;3516903
7363;351;45-49;H;General Salgado;SP;3516903
7364;337;50-54;H;General Salgado;SP;3516903
7365;387;55-59;H;General Salgado;SP;3516903
7366;321;60-64;H;General Salgado;SP;3516903
7367;271;65-69;H;General Salgado;SP;3516903
7368;234;70-74;H;General Salgado;SP;3516903
7369;145;75-79;H;General Salgado;SP;3516903
7370;83;80-84;H;General Salgado;SP;3516903
7371;37;85-89;H;General Salgado;SP;3516903
7372;20;90+;H;General Salgado;SP;3516903
7373;213;00-04;M;Getulina;SP;3517000
7374;272;05-09;M;Getulina;SP;3517000
7375;288;10-14;M;Getulina;SP;3517000
7376;310;15-19;M;Getulina;SP;3517000
7377;320;20-24;M;Getulina;SP;3517000
7378;271;25-29;M;Getulina;SP;3517000
7379;313;30-34;M;Getulina;SP;3517000
7380;306;35-39;M;Getulina;SP;3517000
7381;345;40-44;M;Getulina;SP;3517000
