keycidadepotencial;nomecidadepotencial;ufcidadepotencial;codigoibge
197;Guaiçara;SP;3517208
198;Guaimbê;SP;3517307
199;Guaíra;SP;3517406
200;Guapiaçu;SP;3517505
201;Guapiara;SP;3517604
202;Guará;SP;3517703
203;Guaraçaí;SP;3517802
204;Guaraci;SP;3517901
205;Guarani d'Oeste;SP;3518008
206;Guarantã;SP;3518107
207;Guararapes;SP;3518206
208;Guararema;SP;3518305
209;Guaratinguetá;SP;3518404
210;Guareí;SP;3518503
211;Guariba;SP;3518602
212;Guarujá;SP;3518701
213;Guarulhos;SP;3518800
214;Guatapará;SP;3518859
215;Guzolândia;SP;3518909
216;Herculândia;SP;3519006
217;Holambra;SP;3519055
218;Hortolândia;SP;3519071
219;Iacanga;SP;3519105
220;Iacri;SP;3519204
221;Iaras;SP;3519253
222;Ibaté;SP;3519303
223;Ibirá;SP;3519402
224;Ibirarema;SP;3519501
225;Ibitinga;SP;3519600
226;Ibiúna;SP;3519709
227;Icém;SP;3519808
228;Iepê;SP;3519907
229;Igaraçu do Tietê;SP;3520004
230;Igarapava;SP;3520103
231;Igaratá;SP;3520202
232;Iguape;SP;3520301
233;Ilhabela;SP;3520400
234;Ilha Comprida;SP;3520426
235;Ilha Solteira;SP;3520442
236;Indaiatuba;SP;3520509
237;Indiana;SP;3520608
238;Indiaporã;SP;3520707
239;Inúbia Paulista;SP;3520806
240;Ipaussu;SP;3520905
241;Iperó;SP;3521002
242;Ipeúna;SP;3521101
243;Ipiguá;SP;3521150
244;Iporanga;SP;3521200
245;Ipuã;SP;3521309
246;Iracemápolis;SP;3521408
247;Irapuã;SP;3521507
248;Irapuru;SP;3521606
249;Itaberá;SP;3521705
250;Itaí;SP;3521804
251;Itajobi;SP;3521903
252;Itaju;SP;3522000
253;Itanhaém;SP;3522109
254;Itaoca;SP;3522158
255;Itapecerica da Serra;SP;3522208
256;Itapetininga;SP;3522307
257;Itapeva;SP;3522406
258;Itapevi;SP;3522505
259;Itapira;SP;3522604
260;Itapirapuã Paulista;SP;3522653
261;Itápolis;SP;3522703
262;Itaporanga;SP;3522802
263;Itapuí;SP;3522901
264;Itapura;SP;3523008
265;Itaquaquecetuba;SP;3523107
266;Itararé;SP;3523206
267;Itariri;SP;3523305
268;Itatiba;SP;3523404
269;Itatinga;SP;3523503
270;Itirapina;SP;3523602
271;Itirapuã;SP;3523701
272;Itobi;SP;3523800
273;Itu;SP;3523909
274;Itupeva;SP;3524006
275;Ituverava;SP;3524105
276;Jaborandi;SP;3524204
277;Jaboticabal;SP;3524303
278;Jacareí;SP;3524402
279;Jaci;SP;3524501
280;Jacupiranga;SP;3524600
281;Jaguariúna;SP;3524709
282;Jales;SP;3524808
283;Jambeiro;SP;3524907
284;Jandira;SP;3525003
285;Jardinópolis;SP;3525102
286;Jarinu;SP;3525201
287;Jaú;SP;3525300
288;Jeriquara;SP;3525409
289;Joanópolis;SP;3525508
290;João Ramalho;SP;3525607
291;José Bonifácio;SP;3525706
292;Júlio Mesquita;SP;3525805
293;Jumirim;SP;3525854
294;Jundiaí;SP;3525904
295;Junqueirópolis;SP;3526001
296;Juquiá;SP;3526100
297;Juquitiba;SP;3526209
298;Lagoinha;SP;3526308
299;Laranjal Paulista;SP;3526407
300;Lavínia;SP;3526506
301;Lavrinhas;SP;3526605
302;Leme;SP;3526704
303;Lençóis Paulista;SP;3526803
304;Limeira;SP;3526902
305;Lindóia;SP;3527009
306;Lins;SP;3527108
307;Lorena;SP;3527207
308;Lourdes;SP;3527256
309;Louveira;SP;3527306
310;Lucélia;SP;3527405
