ValorPIB,SetorPIB,AnoPIB,NomeCidadePIB,UFPIB,CodigoIBGE
,Indústria,2010,CÂNDIDO MOTA,SP,3510005
4557603000,Indústria,2010,CÂNDIDO RODRIGUES,SP,3510104
0,Indústria,2010,CANITAR,SP,3510153
,Indústria,2010,CAPÃO BONITO,SP,3510203
,Indústria,2010,CAPELA DO ALTO,SP,3510302
,Indústria,2010,CAPIVARI,SP,3510401
0,Indústria,2010,CARAGUATATUBA,SP,3510500
0,Indústria,2010,CARAPICUÍBA,SP,3510609
7959379000,Indústria,2010,CARDOSO,SP,3510708
,Indústria,2010,CASA BRANCA,SP,3510807
3139285000,Indústria,2010,CÁSSIA DOS COQUEIROS,SP,3510906
,Indústria,2010,CASTILHO,SP,3511003
0,Indústria,2010,CATANDUVA,SP,3511102
4814675000,Indústria,2010,CATIGUÁ,SP,3511201
,Indústria,2010,CEDRAL,SP,3511300
,Indústria,2010,CERQUEIRA CÉSAR,SP,3511409
486335000,Indústria,2010,CERQUILHO,SP,3511508
,Indústria,2010,CESÁRIO LANGE,SP,3511607
,Indústria,2010,CHARQUEADA,SP,3511706
,Indústria,2010,CHAVANTES,SP,3557204
,Indústria,2010,CLEMENTINA,SP,3511904
,Indústria,2010,COLINA,SP,3512001
,Indústria,2010,COLÔMBIA,SP,3512100
,Indústria,2010,CONCHAL,SP,3512209
,Indústria,2010,CONCHAS,SP,3512308
0,Indústria,2010,CORDEIRÓPOLIS,SP,3512407
,Indústria,2010,COROADOS,SP,3512506
2355735000,Indústria,2010,CORONEL MACEDO,SP,3512605
5619532000,Indústria,2010,CORUMBATAÍ,SP,3512704
0,Indústria,2010,COSMÓPOLIS,SP,3512803
,Indústria,2010,COSMORAMA,SP,3512902
2088390000,Indústria,2010,COTIA,SP,3513009
0,Indústria,2010,CRAVINHOS,SP,3513108
8329494000,Indústria,2010,CRISTAIS PAULISTA,SP,3513207
1813017000,Indústria,2010,CRUZÁLIA,SP,3513306
0,Indústria,2010,CRUZEIRO,SP,3513405
4824853000,Indústria,2010,CUBATÃO,SP,3513504
4278444000,Indústria,2010,CUNHA,SP,3513603
0,Indústria,2010,DESCALVADO,SP,3513702
3782401000,Indústria,2010,DIADEMA,SP,3513801
8507255000,Indústria,2010,DIRCE REIS,SP,3513850
6867814000,Indústria,2010,DIVINOLÂNDIA,SP,3513900
2659495000,Indústria,2010,DOBRADA,SP,3514007
,Indústria,2010,DOIS CÓRREGOS,SP,3514106
2285765000,Indústria,2010,DOLCINÓPOLIS,SP,3514205
,Indústria,2010,DOURADO,SP,3514304
,Indústria,2010,DRACENA,SP,3514403
,Indústria,2010,DUARTINA,SP,3514502
,Indústria,2010,DUMONT,SP,3514601
4126067000,Indústria,2010,ECHAPORÃ,SP,3514700
8845731000,Indústria,2010,ELDORADO,SP,3514809
,Indústria,2010,ELIAS FAUSTO,SP,3514908
3242387000,Indústria,2010,ELISIÁRIO,SP,3514924
0,Indústria,2010,EMBAÚBA,SP,3514957
0,Indústria,2010,EMBU DAS ARTES,SP,3515004
0,Indústria,2010,EMBU-GUAÇU,SP,3515103
2331016000,Indústria,2010,EMILIANÓPOLIS,SP,3515129
,Indústria,2010,ENGENHEIRO COELHO,SP,3515152
0,Indústria,2010,ESPÍRITO SANTO DO PINHAL,SP,3515186
,Indústria,2010,ESPÍRITO SANTO DO TURVO,SP,3515194
77340000,Indústria,2010,ESTIVA GERBI,SP,3557303
,Indústria,2010,ESTRELA D'OESTE,SP,3515202
2936782000,Indústria,2010,ESTRELA DO NORTE,SP,3515301
3687191000,Indústria,2010,EUCLIDES DA CUNHA PAULISTA,SP,3515350
,Indústria,2010,FARTURA,SP,3515400
9970184000,Indústria,2010,FERNANDO PRESTES,SP,3515608
,Indústria,2010,FERNANDÓPOLIS,SP,3515509
1114945000,Indústria,2010,FERNÃO,SP,3515657
0,Indústria,2010,FERRAZ DE VASCONCELOS,SP,3515707
1112941000,Indústria,2010,FLORA RICA,SP,3515806
4045578000,Indústria,2010,FLOREAL,SP,3515905
,Indústria,2010,FLÓRIDA PAULISTA,SP,3516002
3330285000,Indústria,2010,FLORÍNEA,SP,3516101
1083655000,Indústria,2010,FRANCA,SP,3516200
0,Indústria,2010,FRANCISCO MORATO,SP,3516309
0,Indústria,2010,FRANCO DA ROCHA,SP,3516408
5782906000,Indústria,2010,GABRIEL MONTEIRO,SP,3516507
,Indústria,2010,GÁLIA,SP,3516606
,Indústria,2010,GARÇA,SP,3516705
,Indústria,2010,GASTÃO VIDIGAL,SP,3516804
5627276000,Indústria,2010,GAVIÃO PEIXOTO,SP,3516853
0,Indústria,2010,GENERAL SALGADO,SP,3516903
7569984000,Indústria,2010,GETULINA,SP,3517000
7154519000,Indústria,2010,GLICÉRIO,SP,3517109
,Indústria,2010,GUAIÇARA,SP,3517208
2041278000,Indústria,2010,GUAIMBÊ,SP,3517307
,Indústria,2010,GUAÍRA,SP,3517406
