ContagemPop,FaixaEtariaPop,SexoPop,NomeCidadePopulacao,UFPopulacao,CodigoIBGE
169,00 a 04,H,Águas da Prata,SP,3500402
197,05 a 09,H,Águas da Prata,SP,3500402
185,10 a 14,H,Águas da Prata,SP,3500402
194,15 a 19,H,Águas da Prata,SP,3500402
207,20 a 24,H,Águas da Prata,SP,3500402
205,25 a 29,H,Águas da Prata,SP,3500402
231,30 a 34,H,Águas da Prata,SP,3500402
262,35 a 39,H,Águas da Prata,SP,3500402
253,40 a 44,H,Águas da Prata,SP,3500402
251,45 a 49,H,Águas da Prata,SP,3500402
223,50 a 54,H,Águas da Prata,SP,3500402
247,55 a 59,H,Águas da Prata,SP,3500402
267,60 a 64,H,Águas da Prata,SP,3500402
225,65 a 69,H,Águas da Prata,SP,3500402
164,70 a 74,H,Águas da Prata,SP,3500402
105,75 a 79,H,Águas da Prata,SP,3500402
86,80 a 84,H,Águas da Prata,SP,3500402
43,85 a 89,H,Águas da Prata,SP,3500402
22,90 e +,H,Águas da Prata,SP,3500402
385,00 a 04,M,Águas de Lindóia,SP,3500501
460,05 a 09,M,Águas de Lindóia,SP,3500501
493,10 a 14,M,Águas de Lindóia,SP,3500501
482,15 a 19,M,Águas de Lindóia,SP,3500501
534,20 a 24,M,Águas de Lindóia,SP,3500501
551,25 a 29,M,Águas de Lindóia,SP,3500501
625,30 a 34,M,Águas de Lindóia,SP,3500501
659,35 a 39,M,Águas de Lindóia,SP,3500501
748,40 a 44,M,Águas de Lindóia,SP,3500501
693,45 a 49,M,Águas de Lindóia,SP,3500501
698,50 a 54,M,Águas de Lindóia,SP,3500501
657,55 a 59,M,Águas de Lindóia,SP,3500501
608,60 a 64,M,Águas de Lindóia,SP,3500501
534,65 a 69,M,Águas de Lindóia,SP,3500501
433,70 a 74,M,Águas de Lindóia,SP,3500501
273,75 a 79,M,Águas de Lindóia,SP,3500501
172,80 a 84,M,Águas de Lindóia,SP,3500501
127,85 a 89,M,Águas de Lindóia,SP,3500501
77,90 e +,M,Águas de Lindóia,SP,3500501
418,00 a 04,H,Águas de Lindóia,SP,3500501
483,05 a 09,H,Águas de Lindóia,SP,3500501
532,10 a 14,H,Águas de Lindóia,SP,3500501
563,15 a 19,H,Águas de Lindóia,SP,3500501
542,20 a 24,H,Águas de Lindóia,SP,3500501
584,25 a 29,H,Águas de Lindóia,SP,3500501
547,30 a 34,H,Águas de Lindóia,SP,3500501
677,35 a 39,H,Águas de Lindóia,SP,3500501
717,40 a 44,H,Águas de Lindóia,SP,3500501
594,45 a 49,H,Águas de Lindóia,SP,3500501
595,50 a 54,H,Águas de Lindóia,SP,3500501
604,55 a 59,H,Águas de Lindóia,SP,3500501
543,60 a 64,H,Águas de Lindóia,SP,3500501
457,65 a 69,H,Águas de Lindóia,SP,3500501
359,70 a 74,H,Águas de Lindóia,SP,3500501
229,75 a 79,H,Águas de Lindóia,SP,3500501
163,80 a 84,H,Águas de Lindóia,SP,3500501
73,85 a 89,H,Águas de Lindóia,SP,3500501
41,90 e +,H,Águas de Lindóia,SP,3500501
187,00 a 04,M,Águas de Santa Bárbara,SP,3500550
206,05 a 09,M,Águas de Santa Bárbara,SP,3500550
239,10 a 14,M,Águas de Santa Bárbara,SP,3500550
231,15 a 19,M,Águas de Santa Bárbara,SP,3500550
210,20 a 24,M,Águas de Santa Bárbara,SP,3500550
218,25 a 29,M,Águas de Santa Bárbara,SP,3500550
228,30 a 34,M,Águas de Santa Bárbara,SP,3500550
225,35 a 39,M,Águas de Santa Bárbara,SP,3500550
283,40 a 44,M,Águas de Santa Bárbara,SP,3500550
259,45 a 49,M,Águas de Santa Bárbara,SP,3500550
241,50 a 54,M,Águas de Santa Bárbara,SP,3500550
277,55 a 59,M,Águas de Santa Bárbara,SP,3500550
250,60 a 64,M,Águas de Santa Bárbara,SP,3500550
179,65 a 69,M,Águas de Santa Bárbara,SP,3500550
157,70 a 74,M,Águas de Santa Bárbara,SP,3500550
91,75 a 79,M,Águas de Santa Bárbara,SP,3500550
60,80 a 84,M,Águas de Santa Bárbara,SP,3500550
38,85 a 89,M,Águas de Santa Bárbara,SP,3500550
20,90 e +,M,Águas de Santa Bárbara,SP,3500550
190,00 a 04,H,Águas de Santa Bárbara,SP,3500550
254,05 a 09,H,Águas de Santa Bárbara,SP,3500550
258,10 a 14,H,Águas de Santa Bárbara,SP,3500550
253,15 a 19,H,Águas de Santa Bárbara,SP,3500550
213,20 a 24,H,Águas de Santa Bárbara,SP,3500550
214,25 a 29,H,Águas de Santa Bárbara,SP,3500550
