ano;cod_ibge;municipio;sexo;idade;populacao
2010;3509007;Caieiras;Homens;10 a 14;4007
2010;3509007;Caieiras;Homens;15 a 19;3871
2010;3509007;Caieiras;Homens;20 a 24;3814
2010;3509007;Caieiras;Homens;25 a 29;3702
2010;3509007;Caieiras;Homens;30 a 34;3657
2010;3509007;Caieiras;Homens;35 a 39;3311
2010;3509007;Caieiras;Homens;40 a 44;3239
2010;3509007;Caieiras;Homens;45 a 49;2982
2010;3509007;Caieiras;Homens;50 a 54;2311
2010;3509007;Caieiras;Homens;55 a 59;1786
2010;3509007;Caieiras;Homens;60 a 64;1250
2010;3509007;Caieiras;Homens;65 a 69;760
2010;3509007;Caieiras;Homens;70 a 74;488
2010;3509007;Caieiras;Homens;75 a 79;275
2010;3509007;Caieiras;Homens;80 a 84;164
2010;3509007;Caieiras;Homens;85 a 89;83
2010;3509007;Caieiras;Homens;90 e +;25
2010;3509007;Caieiras;Mulheres;00 a 04;3054
2010;3509007;Caieiras;Mulheres;05 a 09;3256
2010;3509007;Caieiras;Mulheres;10 a 14;3889
2010;3509007;Caieiras;Mulheres;15 a 19;3722
2010;3509007;Caieiras;Mulheres;20 a 24;3950
2010;3509007;Caieiras;Mulheres;25 a 29;4049
2010;3509007;Caieiras;Mulheres;30 a 34;3789
2010;3509007;Caieiras;Mulheres;35 a 39;3672
2010;3509007;Caieiras;Mulheres;40 a 44;3517
2010;3509007;Caieiras;Mulheres;45 a 49;3042
2010;3509007;Caieiras;Mulheres;50 a 54;2519
2010;3509007;Caieiras;Mulheres;55 a 59;1909
2010;3509007;Caieiras;Mulheres;60 a 64;1403
2010;3509007;Caieiras;Mulheres;65 a 69;898
2010;3509007;Caieiras;Mulheres;70 a 74;609
2010;3509007;Caieiras;Mulheres;75 a 79;467
2010;3509007;Caieiras;Mulheres;80 a 84;288
2010;3509007;Caieiras;Mulheres;85 a 89;132
2010;3509007;Caieiras;Mulheres;90 e +;66
2010;3509205;Cajamar;Homens;00 a 04;2562
2010;3509205;Cajamar;Homens;05 a 09;2713
2010;3509205;Cajamar;Homens;10 a 14;2987
2010;3509205;Cajamar;Homens;15 a 19;2946
2010;3509205;Cajamar;Homens;20 a 24;3175
2010;3509205;Cajamar;Homens;25 a 29;3160
2010;3509205;Cajamar;Homens;30 a 34;2949
2010;3509205;Cajamar;Homens;35 a 39;2623
2010;3509205;Cajamar;Homens;40 a 44;2223
2010;3509205;Cajamar;Homens;45 a 49;1896
2010;3509205;Cajamar;Homens;50 a 54;1576
2010;3509205;Cajamar;Homens;55 a 59;1154
2010;3509205;Cajamar;Homens;60 a 64;748
2010;3509205;Cajamar;Homens;65 a 69;537
2010;3509205;Cajamar;Homens;70 a 74;343
2010;3509205;Cajamar;Homens;75 a 79;222
2010;3509205;Cajamar;Homens;80 a 84;103
2010;3509205;Cajamar;Homens;85 a 89;57
2010;3509205;Cajamar;Homens;90 e +;23
2010;3509205;Cajamar;Mulheres;00 a 04;2480
2010;3509205;Cajamar;Mulheres;05 a 09;2447
2010;3509205;Cajamar;Mulheres;10 a 14;2951
2010;3509205;Cajamar;Mulheres;15 a 19;2882
2010;3509205;Cajamar;Mulheres;20 a 24;3143
2010;3509205;Cajamar;Mulheres;25 a 29;3257
2010;3509205;Cajamar;Mulheres;30 a 34;2985
2010;3509205;Cajamar;Mulheres;35 a 39;2594
2010;3509205;Cajamar;Mulheres;40 a 44;2266
2010;3509205;Cajamar;Mulheres;45 a 49;2004
2010;3509205;Cajamar;Mulheres;50 a 54;1585
2010;3509205;Cajamar;Mulheres;55 a 59;1170
2010;3509205;Cajamar;Mulheres;60 a 64;821
2010;3509205;Cajamar;Mulheres;65 a 69;594
2010;3509205;Cajamar;Mulheres;70 a 74;404
2010;3509205;Cajamar;Mulheres;75 a 79;265
2010;3509205;Cajamar;Mulheres;80 a 84;146
2010;3509205;Cajamar;Mulheres;85 a 89;80
2010;3509205;Cajamar;Mulheres;90 e +;43
2010;3510609;Carapicuíba;Homens;00 a 04;14040
2010;3510609;Carapicuíba;Homens;05 a 09;14799
2010;3510609;Carapicuíba;Homens;10 a 14;16516
2010;3510609;Carapicuíba;Homens;15 a 19;15691
2010;3510609;Carapicuíba;Homens;20 a 24;17297
2010;3510609;Carapicuíba;Homens;25 a 29;17754
2010;3510609;Carapicuíba;Homens;30 a 34;16216
2010;3510609;Carapicuíba;Homens;35 a 39;14353
2010;3510609;Carapicuíba;Homens;40 a 44;12702
2010;3510609;Carapicuíba;Homens;45 a 49;10385
2010;3510609;Carapicuíba;Homens;50 a 54;8981
2010;3510609;Carapicuíba;Homens;55 a 59;7611
2010;3510609;Carapicuíba;Homens;60 a 64;5356
2010;3510609;Carapicuíba;Homens;65 a 69;3450
2010;3510609;Carapicuíba;Homens;70 a 74;2069
2010;3510609;Carapicuíba;Homens;75 a 79;1119
2010;3510609;Carapicuíba;Homens;80 a 84;585
2010;3510609;Carapicuíba;Homens;85 a 89;252
2010;3510609;Carapicuíba;Homens;90 e +;108
2010;3510609;Carapicuíba;Mulheres;00 a 04;13624
2010;3510609;Carapicuíba;Mulheres;05 a 09;14395
2010;3510609;Carapicuíba;Mulheres;10 a 14;16369
2010;3510609;Carapicuíba;Mulheres;15 a 19;15780
2010;3510609;Carapicuíba;Mulheres;20 a 24;17219
2010;3510609;Carapicuíba;Mulheres;25 a 29;18791
2010;3510609;Carapicuíba;Mulheres;30 a 34;17319
2010;3510609;Carapicuíba;Mulheres;35 a 39;15391
2010;3510609;Carapicuíba;Mulheres;40 a 44;13422
2010;3510609;Carapicuíba;Mulheres;45 a 49;11876
2010;3510609;Carapicuíba;Mulheres;50 a 54;10547
2010;3510609;Carapicuíba;Mulheres;55 a 59;8779
2010;3510609;Carapicuíba;Mulheres;60 a 64;6277
2010;3510609;Carapicuíba;Mulheres;65 a 69;4048
2010;3510609;Carapicuíba;Mulheres;70 a 74;2808
2010;3510609;Carapicuíba;Mulheres;75 a 79;1756
2010;3510609;Carapicuíba;Mulheres;80 a 84;1093
2010;3510609;Carapicuíba;Mulheres;85 a 89;535
2010;3510609;Carapicuíba;Mulheres;90 e +;271
2010;3513009;Cotia;Homens;00 a 04;7589
2010;3513009;Cotia;Homens;05 a 09;8100
2010;3513009;Cotia;Homens;10 a 14;9299
2010;3513009;Cotia;Homens;15 a 19;8560
2010;3513009;Cotia;Homens;20 a 24;8713
2010;3513009;Cotia;Homens;25 a 29;9142
2010;3513009;Cotia;Homens;30 a 34;8769
2010;3513009;Cotia;Homens;35 a 39;7860
2010;3513009;Cotia;Homens;40 a 44;7225
2010;3513009;Cotia;Homens;45 a 49;6274
2010;3513009;Cotia;Homens;50 a 54;5396
2010;3513009;Cotia;Homens;55 a 59;4172
2010;3513009;Cotia;Homens;60 a 64;2881
2010;3513009;Cotia;Homens;65 a 69;1844
2010;3513009;Cotia;Homens;70 a 74;1208
2010;3513009;Cotia;Homens;75 a 79;729
2010;3513009;Cotia;Homens;80 a 84;424
2010;3513009;Cotia;Homens;85 a 89;194
2010;3513009;Cotia;Homens;90 e +;76
2010;3513009;Cotia;Mulheres;00 a 04;7392
2010;3513009;Cotia;Mulheres;05 a 09;7899
2010;3513009;Cotia;Mulheres;10 a 14;9081
2010;3513009;Cotia;Mulheres;15 a 19;8416
2010;3513009;Cotia;Mulheres;20 a 24;8603
2010;3513009;Cotia;Mulheres;25 a 29;9734
2010;3513009;Cotia;Mulheres;30 a 34;9484
2010;3513009;Cotia;Mulheres;35 a 39;8494
2010;3513009;Cotia;Mulheres;40 a 44;7734
2010;3513009;Cotia;Mulheres;45 a 49;6800
2010;3513009;Cotia;Mulheres;50 a 54;5736
2010;3513009;Cotia;Mulheres;55 a 59;4413
2010;3513009;Cotia;Mulheres;60 a 64;3119
2010;3513009;Cotia;Mulheres;65 a 69;2040
2010;3513009;Cotia;Mulheres;70 a 74;1430
2010;3513009;Cotia;Mulheres;75 a 79;1008
2010;3513009;Cotia;Mulheres;80 a 84;706
2010;3513009;Cotia;Mulheres;85 a 89;375
2010;3513009;Cotia;Mulheres;90 e +;231
2010;3513801;Diadema;Homens;00 a 04;14029
2010;3513801;Diadema;Homens;05 a 09;14902
2010;3513801;Diadema;Homens;10 a 14;16878
2010;3513801;Diadema;Homens;15 a 19;16229
2010;3513801;Diadema;Homens;20 a 24;18559
2010;3513801;Diadema;Homens;25 a 29;18811
2010;3513801;Diadema;Homens;30 a 34;17029
2010;3513801;Diadema;Homens;35 a 39;15050
2010;3513801;Diadema;Homens;40 a 44;13903
2010;3513801;Diadema;Homens;45 a 49;11498
2010;3513801;Diadema;Homens;50 a 54;9673
2010;3513801;Diadema;Homens;55 a 59;7431
2010;3513801;Diadema;Homens;60 a 64;5154
2010;3513801;Diadema;Homens;65 a 69;3203
2010;3513801;Diadema;Homens;70 a 74;2120
2010;3513801;Diadema;Homens;75 a 79;1262
2010;3513801;Diadema;Homens;80 a 84;692
2010;3513801;Diadema;Homens;85 a 89;276
2010;3513801;Diadema;Homens;90 e +;104
2010;3513801;Diadema;Mulheres;00 a 04;13785
2010;3513801;Diadema;Mulheres;05 a 09;14522
2010;3513801;Diadema;Mulheres;10 a 14;16673
2010;3513801;Diadema;Mulheres;15 a 19;16365
2010;3513801;Diadema;Mulheres;20 a 24;18533
2010;3513801;Diadema;Mulheres;25 a 29;19525
2010;3513801;Diadema;Mulheres;30 a 34;18178
2010;3513801;Diadema;Mulheres;35 a 39;16635
2010;3513801;Diadema;Mulheres;40 a 44;15186
2010;3513801;Diadema;Mulheres;45 a 49;13083
2010;3513801;Diadema;Mulheres;50 a 54;11084
2010;3513801;Diadema;Mulheres;55 a 59;8661
2010;3513801;Diadema;Mulheres;60 a 64;6234
2010;3513801;Diadema;Mulheres;65 a 69;3981
2010;3513801;Diadema;Mulheres;70 a 74;2950
2010;3513801;Diadema;Mulheres;75 a 79;1943
2010;3513801;Diadema;Mulheres;80 a 84;1191
2010;3513801;Diadema;Mulheres;85 a 89;498
2010;3513801;Diadema;Mulheres;90 e +;259
2010;3515004;Embu das Artes;Homens;00 a 04;9570
2010;3515004;Embu das Artes;Homens;05 a 09;10057
2010;3515004;Embu das Artes;Homens;10 a 14;11753
2010;3515004;Embu das Artes;Homens;15 a 19;10837
2010;3515004;Embu das Artes;Homens;20 a 24;10990
2010;3515004;Embu das Artes;Homens;25 a 29;11431
2010;3515004;Embu das Artes;Homens;30 a 34;10592
2010;3515004;Embu das Artes;Homens;35 a 39;9451
2010;3515004;Embu das Artes;Homens;40 a 44;8280
2010;3515004;Embu das Artes;Homens;45 a 49;6505
2010;3515004;Embu das Artes;Homens;50 a 54;5517
2010;3515004;Embu das Artes;Homens;55 a 59;4416
2010;3515004;Embu das Artes;Homens;60 a 64;3172
2010;3515004;Embu das Artes;Homens;65 a 69;2007
2010;3515004;Embu das Artes;Homens;70 a 74;1120
2010;3515004;Embu das Artes;Homens;75 a 79;553
2010;3515004;Embu das Artes;Homens;80 a 84;291
2010;3515004;Embu das Artes;Homens;85 a 89;116
2010;3515004;Embu das Artes;Homens;90 e +;70
2010;3515004;Embu das Artes;Mulheres;00 a 04;9092
2010;3515004;Embu das Artes;Mulheres;05 a 09;9732
2010;3515004;Embu das Artes;Mulheres;10 a 14;11459
2010;3515004;Embu das Artes;Mulheres;15 a 19;10891
2010;3515004;Embu das Artes;Mulheres;20 a 24;11390
